,Article Title,Category
19,"Julian Araujo makes Mexico debut after switching from US



Right back Julian Araujo made his Mexican national team debut in Wednesday night's 2-2 exhibition draw against Chile, almost exactly one year after playing his only match for the United States.



",sports
20,"Leicester at Forest in Cup; Barcelona hosts Atletico



A look at what's happening in European soccer on Sunday:



",sports
21,"Bayern Munich edge Leipzig in five-goal thriller to pull clear at top



Manuel Neuer said Bayern Munich had sent a message to the chasing pack after they strengthened their grip on the top of the Bundesliga table with a thrilling 3-2 win over RB Leipzig on Saturday.



",sports
22,"Giroud shoots open title race with derby double against Inter



Olivier Giroud bust the Serie A title race wide open on Saturday with a quick-fire derby brace in a 2-1 win which moves AC Milan to within one point of leaders Inter.



",sports
23,"English Premier League results & scorers (17th matchday)



Follow Ahram Online's coverage of English Premier League matches of the 2021/2022 season (14/16 December)



",sports
24,"Injured Benzema to miss Granada game, concern grows ahead of PSG



Karim Benzema will miss Real Madrid's game at home to Granada on Sunday with a thigh injury, nine days before Madrid face Paris Saint-Germain in the Champions League.



",sports
25,"Gladbach crisis continues with Bundesliga draw at Bielefeld



Borussia Monchengladbach's dismal spell continued Saturday with a 1-1 draw at Arminia Bielefeld, while high-flying Union Berlin and Freiburg both lost in the Bundesliga.



",sports
26,"Zaniolo denied late winner as Roma draw with Genoa



Nicolo Zaniolo was denied late glory for Roma on Saturday after what looked to be a dramatic stoppage-time winner against Genoa was ruled out after a VAR check in a goalless draw.



",sports
27,"Haaland to miss Leverkusen clash, promises quick return



Borussia Dortmund star striker Erling Haaland is expected to miss Sunday's top-of-the-table clash with Bayer Leverkusen, but promised social media followers that he would return to action ""soon"".



",sports
28,"Dembele returns for Barca after contract stand-off



France international Ousmane Dembele has been named on the Barcelona squad for Sunday's crunch Spanish league match against Atletico Madrid despite his ongoing contract standoff with the Liga side.



",sports
29,"Chelsea boss Tuchel tests positive for coronavirus, doubt for Club World Cup trip



Chelsea manager Thomas Tuchel could miss his side's trip to Abu Dhabi for the Club World Cup after testing positive for Covid-19.



",sports
30,"Chelsea's Reece James out of Club World Cup



Chelsea defender Reece James will miss his side's Club World Cup campaign because he has not recovered from his ""big"" hamstring injury, manager Thomas Tuchel confirmed on Friday.



",sports
31,"Conte says Spurs must learn from mistakes in transfer market



Antonio Conte has passed scathing judgement on Tottenham's recent history in the transfer market, saying they made ""big mistakes"" they cannot afford to repeat after the club offloaded four high-profile players on transfer deadline day.



",sports
32,"Liverpool still interested in Carvalho as Klopp eyes future



Jurgen Klopp says Liverpool's strategy is always to build ""a team for now and tomorrow"", revealing the club are still interested in Fulham teenager Fabio Carvalho after signing Porto forward Luis Diaz.



",sports
33,"Recoveries on the line as Barca, Atletico battle for top four



Rejuvenation will be the reward for the winner of Barcelona and Atletico Madrid on Sunday as La Liga's two fallen giants seek a statement victory to hasten their return to the elite.



",sports
34,"Eriksen could be in action 'within weeks', says Brentford boss



Brentford boss Thomas Frank said Thursday he hoped new signing Christian Eriksen would be in action within ""weeks"" but could not make a full assessment until he had seen him train.



",sports
35,"Olympic members unite against Infantino's biennial World Cup plan



FIFA's fading plan for biennial World Cups was labeled a threat from soccer to all other sports by the International Olympic Committee on Thursday.



",sports
36,"New-look Barcelona attack takes on Atletico's shaky defense



Barcelona's revamped attack will host an Atletico Madrid side seeking to restore its once vaunted defense on Sunday in the Spanish league at Camp Nou.



",sports
37,"US, McKennie beat cold, Honduras in dominant 3-0 win



The U.S. strategically picked frigid Minnesota for this match to minimize travel time, maintain consistency of conditions and, of course, gain an edge over an opponent from a tropical country.



",sports
38,"Olympic members unite against Infantino's World Cup plan



FIFA's fading plan for biennial World Cups was labeled a threat from soccer to all other sports by the International Olympic Committee on Thursday.



",sports
39,"Manchester United's forward Greenwood released on bail after arrest



Manchester United forward Mason Greenwood has been released on bail after being questioned over the alleged rape and assault of a young woman, police said on Wednesday.



",sports
40,"Barcelona president says Dembele rejected 2 offers to leave



Barcelona came agonizingly close to losing Pierre-Emerick Aubameyang. It never really had a chance of getting rid of Ousmane Dembele.



",sports
41,"Japan hand Saudis first defeat in WC qualifying group



A first-half goal from Takumi Minamino set Japan on the way to beating Saudi Arabia 2-0 at Saitama Stadium on Tuesday and keeping the host on course for a seventh successive World Cup appearance.



",sports
42,"Joao Cancelo signs contract extension at Manchester City



Joao Cancelo has signed a two-year contract extension keeping him at Manchester City until 2027, the Premier League leaders announced on Tuesday.



",sports
43,"Premier League clubs spend nearly £300 million in winter transfer window



Premier League clubs splashed out nearly £300 million in January -- the second-highest amount ever spent in the winter transfer window -- boosted by a flurry of late big-money moves.



",sports
44,"Wales midfielder Ramsey joins Rangers on loan from Juventus



Wales midfielder Aaron Ramsey left Juventus on loan to join Scottish champion Rangers on transfer deadline day.



",sports
45,"Barcelona completing Aubameyang deal, no move for Dembele



It was a mix of good news and bad news for Barcelona at the end of the winter transfer window on Monday.



",sports
46,"Juve sign Switzerland's Zakaria from Gladbach, unload Bentancur and Kulusevski



Juventus have signed Switzerland midfielder Denis Zakaria from Borussia Moenchengladbach, the Serie A club said on Monday, in a busy transfer deadline day for the Old Lady of Italian football.



",sports
47,"Man City signs Alvarez to mark start of relationship with River



Julian Alvarez, regarded as one of the hottest prospects in South American football, signed for Manchester City from River Plate on Monday in a transfer that the Argentine champion said marks the start of a close relationship between the two clubs.



",sports
48,"Midfielder Ndombele back to Lyon on loan from Tottenham



Central midfielder Tanguy Ndombele has returned to former club Lyon until the end of the season in a pay loan from English Premier League side Tottenham.



",sports
49,"Everton hires Lampard for 2nd shot as Premier League manager



Frank Lampard will get another shot as a Premier League manager after being hired by Everton on Monday.



",sports
50,"Eriksen set for playing return after signing for Brentford



Christian Eriksen is set for a remarkable playing comeback after signing for Premier League club Brentford on Monday, almost seven months after having a cardiac arrest on the field at the European Championship.



",sports
51,"Man United player Greenwood arrested on suspicion of rape



Manchester United player Mason Greenwood was arrested on suspicion of rape and assault on Sunday after a woman posted visual and audio allegations on social media of an incident.



",sports
52,"Liverpool sign Colombian star Diaz from Porto



Colombian international winger Luis Diaz signed for Premier League side Liverpool on Sunday from Portuguese side FC Porto, which will place further doubt on the future of their Egyptian star Mohamed Salah.



",sports
53,"Adama Traore rejoins Barcelona on loan from Wolves



Spain international Adama Traore will return to Barcelona after signing from Wolves on loan until the end of the season, the two clubs announced on Saturday.



",sports
54,"Caicedo joins Inzaghi at Inter as Sensi heads for Sampdoria



Genoa striker Felipe Caicedo has teamed up again with former Lazio coach Simone Inzaghi at Serie A leaders Inter Milan, the club announced on Saturday, as midfielder Stefano Sensi heads on loan to Sampdoria.



",sports
55,"Man City's Kyle Walker gets 3-game European ban for red card



Manchester City defender Kyle Walker will miss round-of-16 games against Sporting Lisbon in the Champions League after receiving a three-match European ban from UEFA on Friday.



",sports
56,"Liverpool could strengthen attack by signing Diaz from Porto



Liverpool could strengthen its attacking options in the final days of the January transfer window by signing Colombia international Luis Diaz from Porto.



",sports
57,"Vlahovic undergoing medical with Juventus for transfer



Coveted striker Dusan Vlahovic was undergoing a medical at Juventus on Friday to complete what is expected to be one of the biggest moves of the transfer window.



",sports
58,"Ecuador draws Brazil and nears WCup; Argentina sinks Chile



Ecuador is one win away from returning to the World Cup after a 1-1 home draw with South American qualifying leader Brazil on Thursday. Coach Gustavo Alfaro's team will qualify to play in Qatar if it beats Peru next week.



",sports
59,"Iran into World Cup final as Japan, South Korea move closer



Iran became the first team from Asia to qualify for the 2022 World Cup finals on Thursday with a 1-0 victory over Iraq as Japan and South Korea moved a step closer to Qatar.



",sports
60,"EXPLAINER: What's at stake as World Cup qualifying resumes



The eight stadiums are ready in Qatar and World Cup tickets have been on sale for a week. Now the mission to snap up remaining tournament slots resumes.



",sports
61,"Japan beat toothless China to take step closer to World Cup



Clinical Japan took a step closer to the World Cup in Qatar with a 2-0 win over China on Thursday for their fourth straight qualifying victory.



",sports
62,"Argentina coach Scaloni to miss WCup qualifier due to virus



Argentina coach Lionel Scaloni will not travel for Thursday's World Cup qualifying match against Chile after testing positive for COVID-19.



",sports
63,"Pulisic admits prominence on US, Chelsea sometimes a burden



Christian Pulisic has been on a roller coaster.
America's top player won the Champions League, then was sidelined for nearly two months. He battled for inclusion in Chelsea's lineup and been shifted from his usual wide midfield role to center forward and even wingback.



",sports
64,"Premier League says 4 COVID-19 cases need for a postponement



Premier League clubs must have a minimum of four positive coronavirus cases within their playing squad before requesting a postponement, according to new guidelines announced on Wednesday and taking effect next month.



",sports
65,"FIFA links more World Cups to averting migrant deaths at sea



FIFA President Gianni Infantino linked his plan for biennial World Cups on Wednesday to giving more hope to Africans who risk their lives crossing the sea to Europe.



",sports
66,"Japan can overcome injuries in World Cup qualifiers: Minamino



Japan can overcome losing half their defence to injury and take a big step towards World Cup qualification this week, their Liverpool forward Takumi Minamino said Wednesday.



",sports
67,"Focus on Brazil's Vinicius Junior, Argentina's Dybala



With World Cup spots secured, Brazil and Argentina appear set to test players in qualifying who are beloved by fans while trying to prove themselves with national teams.



",sports
68,"Back to the future: Christian Eriksen is training with Ajax



Denmark playmaker Christian Eriksen is training with Ajax's reserves to regain fitness while seeking a new team, his former club said Tuesday.



",sports
69,"Anthony Martial close to sealing move away from Man United



Anthony Martial is close to securing a move away from Manchester United.



",sports
70,"Barcelona's Fati elects to avoid surgery on hamstring injury



Barcelona forward Ansu Fati will follow a conservative recovery plan to treat his left hamstring injury, the club said Tuesday.



",sports
71,"Balotelli gets Italy recall for first time in more than 3 years



Striker Mario Balotelli has been recalled by Italy coach Roberto Mancini more than three years after he last played for the Azzurri for a training camp ahead of 2022 World Cup qualifying play-offs, the Italian Football Federation (FIGC) said on Monday.



",sports
72,"Dortmund concerned by Haaland's latest 'muscular' injury



Borussia Dortmund revealed Monday they are concerned about the extent of the injury to star striker Erling Haaland as they await the results of further medical examinations.



",sports
73,"Watford fires Ranieri after falling into relegation zone



Claudio Ranieri was fired by Watford on Monday after 3 1/2 months in charge of the Premier League team that has just slipped into the relegation zone.



",sports
74,"Kimmich revels on return to Bayern's midfield after Covid scare



Germany star Joshua Kimmich revelled on his return to Bayern Munich's midfield after being sidelined by Covid, then played out of position when the virus had depleted the squad of the Bundesliga leaders.



",sports
75,"Benzema's house broken into during Real Madrid match with Elche



Karim Benzema's house was broken into on Sunday while the French striker was playing for Real Madrid against Elche, police sources told AFP on Monday.



",sports
76,"Break is timely for crisis-hit Borussia Monchengladbach



The Bundesliga's international break has come at just the right time for beleaguered Borussia Monchengladbach coach Adi Hutter.



",sports
77,"Milan loses Key forward Ibrahimovic to injury in draw against Juventus



AC Milan lost more ground on league leader Inter Milan and also lost another important player ahead of the derby as it drew 0-0 against Juventus at San Siro on Sunday.



",sports
78,"Spain La Liga results & scorers (22nd matchday)



Follow Ahram Online's coverage of Spain La Liga matches of the 2021/2022 season (21/23 January)



",sports
79,"Italy Serie A results & scorers (23rd matchday)



Follow Ahram Online's coverage of Italy Serie A matches of the 2021/2022 season (21/23 January)



",sports
80,"Tuchel urges fans to 'show respect' after Rudiger hit by missile



Thomas Tuchel called on fans to ""show respect"" after Chelsea defender Antonio Rudiger was hit by missiles thrown by Tottenham supporters at Stamford Bridge on Sunday.



",sports
81,"Bayern thrash Hertha in Berlin to restore six-point lead in Bundesliga



Bayern Munich romped to a 4-1 victory at Hertha Berlin on Sunday to restore the Bavarian giants' six-point lead at the top of the Bundesliga.



",sports
82,"Germany Bundesliga results & scorers (20th matchday)



Follow Ahram Online's coverage of Germany Bundesliga matches of the 2021/2022 season (21/23 January)



",sports
83,"English Premier League results & scorers (23rd matchday)



Follow Ahram Online's coverage of English Premier League matches of the 2021/2022 season (21/23 January)



",sports
84,"Real Madrid drop points against Elche, Benzema injured



Real Madrid gave hope to their title rivals on Sunday by drawing 2-2 at home to Elche as Karim Benzema missed a penalty and then went off injured at the Santiago Bernabeu.



",sports
85,"Liverpool beat Palace to close on Man City at the top, Arsenal draw blank



Liverpool kept hope of a Premier League title race alive as a 3-1 win over Crystal Palace cut the gap on leaders Manchester City to nine points, while Arsenal missed the chance to move into the top four after being held 0-0 by Burnley.



",sports
86,"Preview: Chelsea faces Spurs again; Mbappe, Messi available



A look at what's happening in European soccer on Sunday



",sports
87,"Australia coach Covid-positive ahead of World Cup qualifier



Australia's build-up to a crunch World Cup qualifier this week suffered a setback Sunday when coach Graham Arnold tested positive for Covid-19 and was forced into isolation.



",sports
88,"Man City's long winning run in EPL ends in 1-1 at Southampton



Manchester City's long winning run in the Premier League ended at 12 matches on Saturday after a 1-1 draw at Southampton, which took points off the leaders for the second time this season.



",sports
89,"Gladbach in crisis after 2-1 loss to Union, Dortmund wins



Max Kruse scored twice for Union Berlin to leave Borussia Monchengladbach in crisis on Saturday after a 2-1 defeat in the Bundesliga.



",sports
90,"Rashford scores last-gasp winner to send Man Utd into Premier League top four



Marcus Rashford struck with virtually the last kick of the game to take Manchester United into the Premier League top four at West Ham's expense with a 1-0 win on Saturday.



",sports
91,"Xavi maintains tough Barcelona stance on Dembele



Barcelona coach Xavi Hernandez said on Saturday the club would not soften their stance on Ousmane Dembele's contract situation, despite the Frenchman's angry riposte on social media on Thursday.



",sports
92,"Digne sets up Villa winner, hit by bottle on Everton return



Lucas Digne marked his swift return to Goodison Park by setting up Aston Villa's goal in a 1-0 victory over former club Everton in the Premier League and getting struck on the head by a bottle thrown from the crowd in the ensuing celebrations.



",sports
93,"Barca and Atletico Madrid turn attention to La Liga race for top four



Barcelona and Atletico Madrid will have to put recent struggles behind them this weekend as they continue their scrap to finish in La Liga’s top four.



",sports
94,"Preview: Dybala in contract spat as Juve head to crucial Milan clash



Paulo Dybala's future is uncertain as the in-form forward prepares to lead Juventus into one of the biggest matches of their season so far, at title chasing AC Milan.



",sports
95,"'Lewandowski is best Bundesliga striker of modern era', says Klinsmann



Jurgen Klinsmann rates Robert Lewandowski as the best Bundesliga striker of the modern era with the Bayern Munich star poised to inflict more misery on struggling Hertha Berlin this Sunday.



",sports
96,"Preview: Premier League top-four race hots up as Chelsea stumble



Manchester City could move 14 points clear at the top of the Premier League on Saturday but erstwhile challengers Chelsea are looking nervously over their shoulders after a slump in form.



",sports
97,"Hazard sinks Elche as 10-man Madrid come from behind in Copa del Rey



Eden Hazard scored his first Real Madrid goal in eight months on Thursday as La Liga’s leaders staged a dramatic comeback with 10 men to scrape past Elche in the Copa del Rey.



",sports
98,"Spain La Liga results & fixtures (21st matchday)



Follow Ahram Online's coverage of the Spanish La Liga games of the 2021/2022 season (16-20 January)



",sports
99,"FIFA boss Infantino living in Doha before World Cup



FIFA president Gianni Infantino has moved to Doha on a temporary basis to oversee the build-up to the 2022 World Cup in Qatar later his year, world football governing body confirmed on Thursday.



",sports
100,"FIFA set to enforce limits on player loan transfer system



FIFA is finally ready to enforce limits on the number of players clubs can send and take on loan internationally, two years after new rules were delayed by the pandemic.



",sports
101,"Simeone losing magic touch in his 10th year at Atletico



This season was supposed to be Diego Simeone's chance to firmly establish Atletico Madrid as Spain's top team and cap his incredibly successful decade as its coach.



",sports
102,"Dembele must leave before end of January, says Barcelona director of football



Barcelona director of football Mateu Alemany said Ousmane Dembele must leave before the end of January after the French international made it clear he does not want to stay at the club.



",sports
103,"Premier League could alter postponement rules from February



The Premier League could introduce new rules from February in a bid to halt the raft of postponements that threaten to cause a fixture pile-up in the final months of the season.



",sports
104,"We have to get back to winning ways: Chelsea keeper Kepa



Kepa Arrizabalaga has urged Chelsea to regain the initiative in the race for a Champions League place after their poor run of form continued with a 1-1 draw at Brighton.



",sports
105,"United boss Rangnick happy to pick Pogba despite doubts over his future



Paul Pogba's possible desire to earn a contract at another club could motivate the France midfielder to produce strong performances for Manchester United until the end of the season, manager Ralf Rangnick said Tuesday.



",sports
106,"Qatar World Cup ticket sales to open, lowest $70 globally



Fans can start registering to buy Qatar World Cup tickets on Wednesday with prices for visitors starting at around $70, one-third cheaper than the tournament in Russia.



",sports
107,"Messi back in full training for PSG after Covid



Lionel Messi was back in full training with Paris Saint-Germain on Tuesday for the first time since testing positive for Covid-19 at the end of last year.



",sports
108,"Spurs coach Conte shocked by Premier League call offs for injuries



Tottenham manager Antonio Conte has expressed his dismay at the Premier League's decision to call off Sunday's north London derby with Arsenal.



",sports
109,"Man Utd boss Rangnick says Martial issue 'resolved' after talks



Manchester United interim manager Ralf Rangnick said on Tuesday he had held clear-the-air talks with Anthony Martial after a public clash over the French international's absence from the weekend's 2-2 draw at Aston Villa.



",sports
110,"Burnley has a 5th Premier League match postponed



Burnley's English Premier League match against Watford has been postponed for a second time, leaving the last-placed team having played five fewer games than some others.



",sports
111,"Real Madrid legend and 6-time European Cup winner Gento dies



Paco Gento, the only footballer to win six European Cups, has died aged 88, his former club Real Madrid announced on Tuesday.



",sports
112,"Italy Serie A results & scorers (22nd matchday)



Follow Ahram Online's coverage of the Italian Serie A games of the 2021/2022 season (15-17 January)



",sports
113,"Lewandowski, Putellas win FIFA Best player awards, Senegal's Mendy best keeper



Robert Lewandowski was voted the best men's player in the world on Monday, retaining the FIFA award he won last year despite being left off the ballot paper filed by runner-up Lionel Messi.



",sports
114,"The Best FIFA Football Awards



A list of all the winners of the Best FIFA Football awards during the ceremony that was held on Monday



",sports
115,"Guardiola hails Man City's mental strength



Pep Guardiola has praised the way his Manchester City players have dealt with adversity on and off the pitch after they strengthened their grip on the Premier League title race.



",sports
116,"Real Madrid top Athletic 2-0 to win Spanish Super Cup



Real Madrid won't be going a second consecutive season without a title.



",sports
117,"Germany Bundesliga results & scorers (19th matchday)



Follow Ahram Online's coverage of Germany's Bundesliga matches of the 2021/2022 season (14-16 January)



",sports
118,"Liverpool beat Brentford to move up to second



Liverpool kept their slim hopes of reeling in Manchester City at the top of the Premier League alive by seeing off Brentford 3-0 at Anfield to move up to second in the table on Sunday.



",sports
119,"English Premier League results & scorers (22nd matchday)



Follow Ahram Online's coverage of English Premier League matches of the 2021/2022 season (14-16 January)



",sports
120,"Everton fires Rafa Benitez after 200 days as manager



Rafa Benitez was fired as Everton manager on Sunday following a 2-1 loss to Norwich in the Premier League that plunged the team closer to the relegation zone.



",sports
121,"Suspended Sevilla and Betis Cup game to resume on Sunday



A Copa del Rey match between local rivals Sevilla and Real Betis will resume from the 39th minute on Sunday, after it was suspended the night before due to a player being hit by an object thrown from the crowd.



",sports
122,"Martial denies Rangnick claim over refusal to be in Manchester United squad



Anthony Martial contradicted Manchester United interim manager Ralf Rangnick's claim he refused to be in the squad for Saturday's match with Aston Villa saying he would ""never disrespect the club and the fans.""



",sports
123,"Super-sub Coutinho caps Villa revival to frustrate Man Utd



Philippe Coutinho made a dream debut for Aston Villa as the Brazil star's late equaliser capped a thrilling fightback from two goals down against Manchester United in Saturday's 2-2 draw.



",sports
124,"'Machine' Lewandowski scores 300th Bundesliga goal in Bayern romp



Bayern Munich captain Manuel Neuer hailed Robert Lewandowski as a scoring ""machine"" after the Poland striker claimed his 300th Bundesliga goal with a hat-trick as the German league leaders thrashed Cologne 4-0 on Saturday.



",sports
125,"Arsenal-Tottenham match in Premier League postponed



Arsenal's request to call off its north London derby match against Tottenham because of a lack of senior players available was granted by the Premier League on Saturday.



",sports
126,"Genoa sack Shevchenko after only two months in charge



Andriy Shevchenko has been sacked by struggling Genoa after just over two months in charge, the Serie A club announced on Saturday.



",sports
127,"De Bruyne brilliance lifts Man City 13 points clear in EPL



Kevin De Bruyne curled home a brilliant second-half goal to earn Manchester City a 1-0 win over Chelsea and a 13-point lead over its nearest rival in the Premier League on Saturday.



",sports
128,"Haaland unhappy about pressure from Dortmund to reveal his plans



Tension is simmering between Erling Haaland and Borussia Dortmund with the star striker accusing his Bundesliga club of putting pressure on him to make a decision regarding his future.



",sports
129,"Ronaldo says road to Qatar World Cup 'difficult'



Portugal and Manchester United star Cristiano Ronaldo said in an interview broadcast late on Thursday there are ""difficult battles"" ahead if his country are to qualify for the World Cup for the sixth successive time.



",sports
130,"Coutinho won't be rushed into action, says Gerrard



Aston Villa manager Steven Gerrard says he will be patient with playmaker Philippe Coutinho and only unleash him at the right time as he prepares his side for the visit of Manchester United.



",sports
131,"Rangnick wants to keep Henderson and Van de Beek at Man Utd



Ralf Rangnick wants to keep Dean Henderson and Donny van de Beek at Manchester United for the rest of the season even though they have both been frustrated by a lack of playing time.



",sports
132,"Guardiola says Man City hit by new wave of Covid-19 cases



 Manchester City manager Pep Guardiola said Friday that his Premier League champions had been hit by a fresh wave of coronavirus cases.



",sports
133,"Tuchel would be 'very angry' if clubs were abusing Covid postponement rules



Chelsea boss Thomas Tuchel says he would be ""very angry"" if he discovered that rival Premier League clubs were abusing coronavirus postponement rules after his club's request to call off a match fell on deaf ears.



",sports
134,"Burnley's Premier League match vs Leicester off due to COVID



Burnley's shortage of players due to coronavirus cases and injuries has led to its Premier League match against Leicester being postponed.



",sports
135,"Bayern defender Davies has heart muscle issue after virus



Bayern Munich left back Alphonso Davies has been sidelined with evidence of heart muscle inflammation after being infected with the coronavirus, coach Julian Nagelsmann said Friday.



",sports
136,"Chelsea aim to clip Man City's wings



Chelsea need a repeat of their Champions League final victory over Manchester City to rekindle their Premier League title challenge with the English champions threatening to build a realistically unassailable lead just days into the new year.



",sports
137,"Messi 'takes longer than expected' to recover from Covid-19



Lionel Messi said on Thursday he needs more time to recover before playing again after contracting Covid-19 earlier this month.



",sports
138,"Brazil excludes unvaccinated Lodi from World Cup qualifiers, injured Neymar out



Brazil coach Tite on Thursday announced his squad for two upcoming World Cup qualifier matches, leaving out injured star Neymar and noting that defender Renan Lodi wasn't selected because he hasn't been vaccinated against COVID-19.



",sports
139,"Wood becomes second Newcastle signing after Saudi takeover, Digne to Villa



Newcastle strengthened its attacking options - and significantly weakened those of a relegation rival in the Premier League - by signing Chris Wood from Burnley for a reported 25 million pounds ($34.5 million) on Thursday.



",sports
140,"Man Utd must finish in top three, says Ronaldo



Cristiano Ronaldo says finishing outside the top three in the Premier League would be unacceptable for Manchester United as Ralf Rangnick struggles to turn around his under-performing team.



",sports
141,"Sanchez gives Inter win over Juventus in Italian Super Cup



Substitute Alexis Sanchez scored with the last kick of the match to help Inter Milan win the Italian Super Cup with a 2-1 victory over bitter rival Juventus after extra time on Wednesday.



",sports
142,"Real Madrid beat Barcelona for 100th time to reach Super Cup final



Federico Valverde scored in extra time to give Real Madrid a 3-2 win over Barcelona on Wednesday for its 100th victory over its storied rival and a spot in the final of the Spanish Super Cup in Saudi Arabia.



",sports
143,"Haaland to tell Dortmund of plans by late February



Borussia Dortmund can expect to know by the end of February whether star striker Erling Haaland will stay past the end of this season, according to reports in Germany.



",sports
144,"Coman extends Bayern stay until 2027



Bayern Munich winger Kingsley Coman has signed a contract extension until 2027, the Bundesliga leaders confirmed Wednesday.



",sports
145,"PSG calls off trip to Qatar, Saudi Arabia because of COVID



Paris Saint-Germain called off its upcoming trip to the Persian Gulf region on Wednesday because of coronavirus concerns.



",sports
146,"Arsenal can still attract elite players, says coach Arteta



Mikel Arteta is adamant that Arsenal can still attract the world's best players despite their struggles in recent years as rumours persist of a move for Fiorentina forward Dusan Vlahovic.



",sports
147,"Italy Serie A results & scorers (21st matchday)



Follow Ahram Online's coverage of Italy Serie A matches of the 2021/2022 season (9 January)



",sports
148,"Beating Real Madrid could be a turning point for Xavi's Barcelona



Coach Xavi Hernandez said on Tuesday this week's Clasico semi-final in the Spanish Super Cup could be a turning point for Barcelona as they try to re-establish themselves among Europe's elite.



",sports
149,"Rangnick unsure why Rashford is struggling at Manchester United



Ralf Rangnick says he is unsure why Marcus Rashford is struggling to make an impact after the Manchester United forward toiled in their 1-0 FA Cup win against Aston Villa.



",sports
150,"Without Ronaldo, Manchester United labors to FA Cup win over Villa



Without the injured Cristiano Ronaldo, Manchester United labored to a 1-0 win over Aston Villa in the third round of the FA Cup thanks to Scott McTominay's early goal on Monday.



",sports
151,"Bologna playing in Serie A despite barely training



A look at what's happening in European soccer on Tuesday:



",sports
152,"Knee injury puts Chiesa's season at risk, out of World Cup playoffs



Federico Chiesa's season is almost certainly over after Juventus announced on Monday the Italy forward suffered a left knee ligament injury during his team's thrilling win over Roma.



",sports
153,"Cavani wants to stay at Manchester United, says Rangnick



Edinson Cavani has told Ralf Rangnick that he wants to stay at Manchester United and help improve the misfiring team's fortunes after speculation that he would leave during the January transfer window.



",sports
