,Final_Text,Category
76,âvillages nileâ âescape jungleâ steal spotlight egyptian art âvillages nileâ âescape jungleâ egyptian artist mohamed mekawy mahmoud ibrahim unveiled mahmoud mokhtar cultural centre grand opening,Art
77,visible city exhibition open mashrabia gallery 8 may australian artist damon kowarsky brings impression cairo city known mashrabia gallery,Art
78,kadhafi caricature flourish rebel capital benghazi young libyan artist reach gun coloured pen spray can libya revolution kicked midfebruary,Art
79,art freedom call fair military retrial group artist gathered cairo atelier yesterday call fair retrial amr eissas case,Art
80,egypt home artistic celebration freedom liberty egypt home collective exhibition glorifying country peopleâs revolution assortment style opened week ebdaa art gallery zamalek,Art
81,two exhibition open mahmoud mokhtar cultural centre monday monday 2 may egyptian artist mahmoud ibrahim mohamed mekawy exhibit work isi nahdet misr gallery respectively,Art
82,egyptian artist announced head venice biennale jury hassan khan visual artist experimental musician preside year jury venice biennale,Art
83,artist dissatisfied former culture minister plan belonging farouq hosnis announcement donate belonging museum seen artist attempt cover corruption illgotten gain,Art
84,egyptian artist exhibit work germany egyptian visual artist taha hussein show four artwork collective exhibition germany,Art
85,multiple vision sculpture photography explore body soul currently showcasing safarkhan gallery zamalek dynamic collection sculpture photograph three contemporary egyptian artist test boundary body spirit,Art
86,new record abdul hadi elgazzar christie auction christieâs modern contemporary arab iranian turkish art auction saw middle eastern artistsâ work set 42 record tuesday 19 april,Art
87,cairo celebrating city call âa metropolis surprisesâ farid fadel exhibit enchanting collection painting picasso art gallery located right heart cairo,Art
88,painting egyptian artist auction christie dubai tuesday 19 april painting renowned egyptian artist put sale christie dubai,Art
89,egyptian revolution go âwirelessâ spanish artist xavier puigmarti exhibition âwirelessâ mashrabia art gallery tribute egyptian revolution,Art
90,designopolis take egyptian revolution souk el horreya seems like another commercial exploitation egyptian revolution however exhibition graffiti covering wall brings back sense justice revolutionary spirit,Art
91,chinese artist detained police massive crackdown lawyer writer activist china artist ai weiwei allegedly detained sharp stance government,Art
92,wireless exhibition mashrabia gallery spanish painter xavier puigmarti dedicates exhibition wireless egyptian revolution,Art
93,venice biennale exhibit egyptian artist ahmed bassiounys visual art project venice biennale exhibit 30 day running place visual art project ahmed bassiouny egyptian professor art shot dead january 25 revolution,Art
94,arthropologie new art gallery opening zamalek monday 6 june gallery arthropologie new player cairo art scene open door,Art
95,palestinian make artistic mark passport lacking statehood therefore bureaucracy palestinian artist add touch fight statehood designing passport entry stamp promotes facebook border,Art
96,qarm qart mashrabia gallery 5 june exhibition mixedmedia paper entitled qarm qart open mashrabia gallery contemporary art explore different scenario,Art
97,egyptiancanadian association ontario hold walk like egyptian exhibition saturday 28 may egyptiancanadian association ontario organised âwalk like egyptian exhibit egyptian revolutionâ central library london city southwest ontario,Art
98,iranian painter turn golden page new chapter new chapter opened iranian artist enjoying boom sale interest major international auction house christie despite global economic malaise sanction hitting iran,Art
99,whole world circus acrobat clown juggler trained animal subject john perkinsâ photography exhibition instead excitement thrill big top reveals sad truth behind scene circus,Art
100,egyptian artist shortlisted jameel prize 2011 hazem el mestikawy among artist designer shortlisted almost 200 nomination yearâs jameel prize victoria albert museum london,Art
101,figurative practice open almasar gallery figurative practice multiartist exhibition held almasar gallery open sunday 29 may,Art
102,january 25 revolution exhibition athens rebirth nation exhibition currently held hellenic american union athens display photograph taken many young artist january 25 revolution egypt,Art
103,micro mosaic exhibition open alexandria 26 may mahmoud saeed center museum exhibition alexandria open exhibition micro mosaic saad romany michael,Art
104,mad graffiti weekend storm egyptian capital graphic artist ganzeer teamed group graffiti artist weekend took zamalek downtown painting mural martyr lifesize tank,Art
105,mr president circus townhouse gallery john perkins photography exhibition open townhouse gallery sunday look state one magical governmental department state circus,Art
106,gallery misr new player art arena amid volatile time country gallery misr open artinfused zamalek mission enhance contemporary egyptian art support rising artist,Art
107,photo gallery muse mahmoud khalil museum artist omar galliani italy essam marouf egypt present work dual exhibition taking place ofok gallery mahmoud khalil museum,Art
108,salah taherâs enduring art soul salah taher prominent egyptian painter lived wholly artful life would say life short art life painting display zamalek art gallery make dã©but 100th anniversary birth,Art
109,green street scent life safarkhan gallery thursday 19 may safarkhan gallery cairo open exhibition painting photography video art germanborn artist barbara armbruster,Art
110,remembering naji alali timeless conscience palestine 63rd year palestinian nakba marked week one palestinian artist symbol al nakba come mind naji alali creator tenyearold handala,Art
111,54th international venice biennale pay tribute ahmed basiouny egyptian artist revolutionary martyr ahmed basiouny multimedia artist martyr 25 january revolution represent egypt solo exhibition 54th venice biennale,Art
112,neighbour exhibition brings together international artist festival art caravan festival art highlight importance building sustaining bridge religion emphasis importance friendship understanding people,Art
113,facebook nassbook londonâs mica gallery egyptian artwork showcased modern islamic contemporary art gallery london exhibition entitled facebook nassbook,Art
114,contemporary featured tache art gallery latest work major egyptian artist including mohamed abla exhibit tache art gallery designopolis,Art
115,khaled hafez living art scalpel paintbrush ahram online trace khaled hafezs artistic career,Art
116,figurative practice almasar gallery art life life transitory contemporary artist documenting nationâs identity canvas drawing creative narrative transcend word survive time,Art
117,art photography dandy mall gallery four egyptian woman artist depict beauty life new gallery dandy mall outskirt cairo,Art
118,revolution dawestashy extra gallery zamalek displaying esmat dawestashys artistic work egyptian revolution,Art
119,picasso work loaned west bank go display buste de femme pablo picasso 7 million masterpiece currently display palestinan art academy occupied land ramallah,Art
120,environment life exhibition nile diplomatic club environmental issue lie heart many pressing developmental concern egypt currently face prompting nile diplomatic club present environment life exhibition,Art
121,shoe size 37 football exhibition el sawy culturewheel germany prepares host woman football cup 2011 goethe institute exhibit shoe size 37 featuring photo international female football star action,Art
122,two new exhibition open mahmoud mokhtar museum mahmoud mokhtar cultural center exhibit new work artist wafaa nashashibi rania el hakim photographer magdy hanna,Art
123,picture story workshop exhibition rawabet photography workshop led john perkins present outcome rawabet theatre monday 20 june,Art
124,refugefive city portfolio open townhouse gallery photography exhibition tracing urban change istanbul beirut amman cairo dubai open townhouse gallery contemporary art next sunday,Art
125,art ray forgotten sun egyptâs school student art exhibition british international school cairo offer inspiring hope art education completely forgotten school egypt,Art
126,shadi elnoshokaty critisizes ashraf redas approach venice biennale executive curator year exhibit 30 day running place venice biennale hold press conference 15 june fine art syndicate,Art
127,two sister give venice biennale first taste saudi art black arch installation shadia raja alem represents kingdom saudi arabia independent pavilion 54th international art exhibition venice biennale,Art
128,arthropologie inspiring new gallery new player cairo art scene arthropologie contemporary art gallery founded young designer artlovers offer full range modern gallery delight,Art
129,two exhibition open mahmoud mokhtar cultural centre monday 13 june mahmoud mokhtar cultural centre open parallel exhibition isi nahdet misr gallery,Art
130,el bab gallery exhibit italian photography egypt theme thursday 9 june el bab gallery open exhibition italian artist nicolã² tassoni estense,Art
131,tell feature video contemporary artist video five different contemporary visual artist including hassan khan shady elnoshokaty screened townhouse library,Art
132,new head fine art syndicate announces upcoming project following election victory saturday hamdy abou el maaty waste time setting syndicate new course,Art
133,inauguration four exhibition el gezira centre art egyptian minister culture emad abu ghazi inaugurate four exhibition el gezira centre art wednesday including photography painting jewellery,Art
134,carlos latuff give voice oppressed art ahram online talk brazilian cartoonist carlos latuff reflecting egypt revolution arab spring shaking whole middle east,Art
135,egyptâs finest artist exhibited artspace dubai omar nagdi among number egyptian modern contemporary artist featured art space gallery dubai,Art
136,summer art exhibition zamalek art gallery zamalek art galleryâs summer exhibition open 1 august quenching thirst cairoâs art enthusiast egypt prominent contemporary artist work,Art
137,hajj exhibition hosted british museum exhibition set open next year feature old new illumination religious practice,Art
138,egypt love exhibition safarkhan gallery sequel safarkhan hold stirring collection photograph celebrate january 25 revolution egypt,Art
139,red sea resort lit art midst tourist attraction commercial outlet safarkhan gallery provides breeze real art shore el gouna,Art
140,cartoonist comment military council attempt defame protester carlos latuff ahmad nady draw caricature lampoon recent attack scaf protester,Art
141,egypt participates chinese festival festival art culture tourism held city yinchuan hosting several arab artist,Art
142,protest tomorrow demanding resignation head fine art sector thursday 21 july coalition fine art sector holding protest demand resignation current head ashraf reda,Art
143,rania matarâs girl room shubbak festival continues showcase regionally inspired artwork arabamerican rania matar participating series photograph reveal multidimensional perspective femininity,Art
144,brazilian cartoonist egyptian revolution carlos latuff brazilian whose cartoon present since beginning january 25 revolution explains interest middle east conflict egyptian revolution,Art
145,meet bongore artellewa rooftop wednesday 20 july part meet artist series artellewa rooftop host spanish artist josã© luis bongore,Art
146,egypt revolutionary artist return spot tahrir revolution artist union quick creatively reflect current political situation tahrir square,Art
147,variety artistic testimony mark khan al maghrabyâs season finale frame collective exhibition display khan al maghraby gallery meeting egyptian artist generation skill thematic preference,Art
148,egypt love take two alaa taher basem samir hossam hassan present new work safarkhan art gallery zamalek,Art
149,calligraphy feature picasso gallery ramadan celebration holy month ramadan picasso gallery feature arabic calligraphy egyptian artist khodeir,Art
150,exhibition mock egypt state television âmasperoâ exhibition invite artist reflect life national identity shaped fruit infamous maspero building,Art
151,el bab gallery celebrates bengali rabindranath tagore two exhibition related nobel laureate rabindranath tagore bengali poet novelist musician painter open el bab gallery cairo opera house ground run 17 july,Art
152,london see taste cairo life shubbak arab cultural festival cairo life explained tight photomontage âmyths legendsâ huge mural artist hala elkoussy shubbak festival arab culture 24 july london,Art
153,four parallel exhibition gezira art centre wednesday 7 september gezira art centre begin exhibiting range work four hall,Art
154,egyptian artist hassan khan exhibit belgium twist exhibition hassan khan open tonight 3 september belgium focused theme humiliation,Art
155,benghazi museum show scar triumph libya revolt new museum libya second city testament change already felt country artist work free gaddafi shadow,Art
156,outpouring cartoon solidarity syria ali ferzat cartoon erupted social networking site newspaper worldwide solidarity syrian cartoonist ali ferzat beaten clampdown authority,Art
157,egyptian cartoonist join worldwide solidarity campaign syrian cartoonist ali ferzat ali ferzat beaten political criticism syrian regime attracted global support,Art
158,syria seeking cartoonist attacker syrian police hunting attacker broke hand country leading political cartoonist official sana news agency said friday washington condemned attack,Art
159,lebanese artist exhibit zurich galerie kashya hildebrand opened new exhibition 25 august presenting new work lebanese artist marwan sahmarani,Art
160,16th century turkish flask link egypt presidential palace auctioned bonhams 16th century iznik bottle flask private belgian collection linked egypt presidential palace one top item bonhams auction indian islamic art 4 october,Art
161,syrian cartoonist ali ferzat hospitalised beaten worldrenowned cartoonist ali ferzat badly beaten security clampdown history eliciting wrath authority,Art
162,arthropologie gallery celebrates ramadan young arthropologie gallery zamalek launch new collective exhibition arty space adding dash color ramadanâs festive cultural agenda cairo,Art
163,book art holy family flight egypt seminar cultural council supreme council culture hold discussion painting pilgrimage art expression holy journey evening,Art
164,egyptian spiderman carlos latuff brazilian cartoonist carlos latuff draw egyptian spiderman aka flagman ahmed shahat,Art
165,om el donia exhibition fairmont fairmont nile city hold art exhibition entitled om el donia ramadan bab el nil tent 31 august,Art
166,visual artist design monument egypt martyr graphic design professor fine art college luxor made design commemorate martyr january 25 revolution,Art
167,permanent art exhibition activist inji aflatoun open amir taz palace eighty eight work personal item famous bourgeoisieborn turned socialist artist inji aflatoun 19241989 displayed amir taz palace,Art
168,bridge story egyptian artist victoria albert museum london ahram online speaks cocurator artist bridge comment egyptian society egyptian artist exhibited candidate jameel prize va museum london,Art
169,weiwei endured immense pressure detention chinese dissident artist ai weiwei whose disappearance april caused international outcry still face threat prison alleged subversion,Art
170,ahmad nady budding egyptian cartoonist nady say would prefer cartoon used banner protest published newspaper,Art
171,colourful conversation contemporary designopolis tache art gallery designopolis feature group contemporary egyptian artist showcasing assortment piece create bright community face figure landscape playfully artfully engage viewer,Art
172,picture gallery brazilian political cartoonist carlos latuff jan 25 carlos latuff professional cartoonist brazil born 1968 closely following development arab spring cartoon supporting egypt revolution become iconic reflective,Art
173,eu delegation celebrates move art exhibition eu delegation celebrates success move exhibition held eu residence egypt,Art
174,egyptian sculptor mostafa naguibs memory revived lecture event alexandria mahmoud said centre saturday part series lecture focusing egypt oncesuccessful neglected artist,Art
175,exhibition dedicated syrian cartoonist ali ferzat atelier du caire selection work awardwinning cartoonist brutally beaten alassads thug,Art
176,iranian born photographer black dog black dog space open new exhibition iranian born photographer afshin dehkordi,Art
177,algerian artist rachid koraã¯chi bag jameel prize 2011 algerian born rachid koraã¯chi â£25000 jameel prize selection embroidered cloth banner series entitled le maitres invisibles invisible master 2008,Art
178,prominent iraqi sculptor hikmat dy 82 many sculpture visible public space baghdad recent work yet unveiled,Art
179,thousand map without apparent direction though ambitious fresh exhibition ashraf ibrahim display palace art leaf many question unanswered,Art
180,rescheduling ali ferzats exhibition opening today special exhibition featuring work dissident syrian cartoonist open today,Art
181,graffiti exhibition open townhouse nine graffiti artist experiment indoorexhibition townhouse factory space,Art
182,syrian cartoonist ali ferzat cairo atelier exhibition display work critic syrian regime,Art
183,gallery tunisia morocco dock art fair lyon four gallery arab region participate international art fair,Art
184,palestinian childrenâs art exhibition california shut proisrael pressure âthe child gaza loseâ proisrael organisation pressure oakland gallery cancel art exhibition palestinian child experience israelpalestine conflict,Art
185,van gogh âpoppy paintingâ case resume december twelve ministry culture official stand trial accused theft,Art
186,cic launch photography school nonprofit art institution launch photography school october professional amateur course,Art
187,six day announcement winner jameel prize 2011 hazem elmestikawy egypt among ten shortlisted artist winner announced london monday,Art
188,modern contemporary arab iranian art sale sothebys london sothebyâs london announced sale modern contemporary art arab iranian artist take place tuesday 4 october,Art
189,amidst violence syria exhibition open impact arab spring artist ayyam gallery damascus look complex intertwining art politics arisen past year artist affected widespread turmoil middle east north africa,Art
190,thousand painted map vienna palace art exhibition symbolises unique connection cairo austrian capital series impressive painting,Art
191,travelling installation ai weiwei chinese imprisoned artist world demanded released activist artist ai weiwei fight chinese government censorship grandising chinese culture outdoor sculpture world tour circle animalszodiac head currently la soon nyc,Art
192,cartoonist carlos latuff fight big oil small town egypt political cartoonist carlos latuff release latest cartoon calling egyptian tahrir take immediate action save edko village bp,Art
193,meet artistsâ al masar gallery al masar gallery creates dialogue art lover egyptian artist âmeet artistsâ event sunday,Art
194,head fine art appointed minister culture emad abou ghazi appointed artist professor salah elmeleigy head fine art sector,Art
195,pioneer social realism art egypt dy aged 92 seminal egyptian artist mohamed hamed oweis died yesterday 1 october long life artistic achievement,Art
196,nine young artist raise stereotype ara gallery exhibition dubai aim challenge stereotype arab muslim,Art
197,collage workshop output displayed egypt darb 1718 environmental issue consumer culture feature series collage exhibition workshop given artist hany rashed,Art
198,piece piece afghanistan reclaims history dedicated band afghani men woman gathering nation past hoping growing museum collection show world afghan culture sophisticated tide news report suggest,Art
199,art discussion almasar gallery artist take visitor tour gallery offer insight working method creative process,Art
200,successful opening childâs view gaza exhibition despite effort supress proisrael group fail force cancellation palestinian childrens art exhibition,Art
201,mashrabia gallery decade cutting edge art ahram online discus future art egypt mashrabia director curator stefania angarano,Art
202,2day camp london dedicated egyptâs art london meet cairo learning camp workshop brings people different culture setting facilitates selfexpression crosscultural dialogue,Art
203,metropolitan museum open renovated gallery islamic art culture grand reopening suite 15 dramatic new gallery showcasing art arab world turkey iran central asia new york metropolitan museum art set 1 november,Art
204,nude koran picture cause stir morocco moroccan newspaper blogger outraged photograph naked body adorned koranic verse,Art
205,moving picture six painter side side organised mashrabia gallery move collective exhibition featuring work six established artist diverse style spacious elaborately decorated eu residence,Art
206,note iraq barbara nimri aziz remembers sculptor mohammed ghani hikmat iraq say farewell national legend sculptor mohammad ghani hikmat died 12 september aged 82,Art
207,libyan graffiti artist make fun gaddafi libyan graffiti artist taking advantage newfound freedom make fun ousted leader muammar gaddafi street tripoli,Art
208,contemporary art collection display art cafe exhibition showcase work private collection philippe devlay,Art
209,path hope revolution drawing sculpture exhibition featuring work two egyptian artist living abroad reflects postrevolutionary hope new egypt,Art
210,egyptian video artist photographer mali bamako encounter biennial exhibition 9th bamako encounter present photography video work artist across african continent including five egypt emphasis environmental sustainability,Art
211,changing room collective exhibition arab artist italy spazio qubi gallery host exhibition arab artist reflect change taking place region,Art
212,life inji aflatoun artist rebel ahram online examines life egyptian artist activist inji aflatoun upon opening permanent exhibition last month,Art
213,muslim comic series aim break u comic book titled 99 inspired 99 quality god islam try spread despite criticism hardline muslim american,Art
214,work egyptian artist take part christie modern contemporary arab iranian turkish art sale two portrait father egyptian art mahmoud said among strong body work egyptian auction christie dubai,Art
215,czech artist gezira art centre exhibition painting sculpture czech artist open wednesday 19 october gezira art centre,Art
216,pulse exhibition steal show designopolis young egyptian artist seize rare opportunity display work art scene dominated established name,Art
217,sculpture exhibition open tonight egyptian sculptor gamal abdel nasser sculpture exhibition open sunday 16 october zamalek art gallery,Art
218,see life colour featured cairo atelier see life colour exhibition rabab taha open today 16 october atelier cairo,Art
219,greek cartoonist draw crisis ancient philosopher golden age greek newspaper cartoonist time shine economic crisis threatens go global offer bonanza satirist talent scathing image caption,Art
220,yorgos papageorgiou feature mashrabia art gallery exhibition work greek painter yorgos papageorgiou open sunday 16 october downtown cairo,Art
221,1001 thing installation cic collaborative installation project chance cairo resident see part home exhibited cic 30 october,Art
222,new exhibition feature upandcoming egyptian artist pulse exhibition 47 young egyptian artist open 15 october,Art
223,photo gallery iranian artist sculpture garden naser hooshmand vaziri transforms cave lavasan art studio,Art
224,path hope art move safar khan gallery launch exciting exhibition ink drawing alyaa kamel sculpture gamal meleka,Art
225,heroic african metropolitan museum art epic exhibition metropolitan museum new york display culturallycontemporary art revives face african hero prephotographic time,Art
226,eu delegation launch photo challenge amateur delegation european union egypt launched new challenge amateur photographer egypt â fourth annual competition best thirty photograph,Art
227,image politics network exhibition darb 1718 work 13 artist costa rica honduras nicaragua examine axis power modern communication impact sociopolitical arena,Art
228,egyptian artist among 2012 abraaj capital prize winner wael shawky take home year acap prize along artist palestine lebanon pakistan,Art
229,talk artist townhouse gallery sunday 9 october townhouse gallery contemporary art organises evening young artist brazil jonathas de andrade,Art
230,sothebys auction arab iranian islamic art success sothebyâs october auction contemporary arab iranian islamic art concludes combined sale exceeding expectation,Art
231,syrian artist fadi yazigi make uk debut london mosaic room show recent painting relief sculpture film fadi yazigi celebrated syrian artist first uk exhibition,Art
232,candinas launch art book cairo mashrabia art gallery brings candinasâ art kazazianâs music together romp international culture saturday 8 october,Art
233,thousand send money china artist ai weiwei tax bill thousand people sent 800000 chinese dissident artist ai weiwei tossing cash folded airplane gate help pay tax bill see government harassment said monday,Art
234,momentum revolution flashback safarkhan gallery artist marwa adel look back day colour tahrir square uprising long revolutionary fire cooled,Art
235,gezira art centre host sublimation exhibition next week show feature latest drawing painting egyptian visual artist weaam elmasry,Art
236,fourth eu photography competition kick day left deadline 14 november submitting entry fourth photography competition organised european union delegation egypt,Art
237,egyptian tunisian artist present arab spring bamako biennale bamako encounter november malian capital draw special attention arab spring screening film compiled activist artist egyptian khaled hafez tunisian faten gaddes,Art
238,egyptian 27 african country bamako encounter malian capital egyptian among photographer video artist 27 african country taking part one continent important artistic event,Art
239,two video installation artellewa art space giza two video art piece reflect upon life cairo telling story city physical space shown artellewa art space new exhibition,Art
240,egypt culture minister inaugurates artist prova exhibition 180 artist minister culture abu ghazi inaugurated noskha rakam wahid artist prova exhibition display 180 piece upcoming renowned artist 12 november,Art
241,abu dhabi delay construction louvre guggenheim museum project completed five year later original 201314 delivery date ministry blame immense magnitude project,Art
242,gaddafi son used painting promote libyan culture saif alislam son muammar gaddafi trying negotiate safe passage international criminal court refuge sahara mission put libya cultural map exhibiting painting,Art
243,mahmoud said painting second highest christie dubai two day modern contemporary arab iranian turkish art auction organised christie dubai painting mahmoud said sold half million dollar,Art
244,u publisher issue egyptian graphic novel banned mubarak author magdy elshafei arrested book banned mubarak era see work published united state,Art
